CustomerID,CustomerRevenue,TotalOrders,AOV
12346,77183.6,1,77183.6
12347,4310.0,7,615.7142857142857
12348,1797.24,4,449.31
12349,1757.55,1,1757.55
12350,334.4,1,334.4
12352,2506.04,8,313.255
12353,89.0,1,89.0
12354,1079.4,1,1079.4
12355,459.4,1,459.4
12356,2811.43,3,937.1433333333333
12357,6207.67,1,6207.67
12358,1168.06,2,584.03
12359,6310.03,4,1577.5075
12360,2662.06,3,887.3533333333334
12361,189.9,1,189.9
12362,5226.23,10,522.6229999999999
12363,552.0,2,276.0
12364,1313.1,4,328.275
12365,641.38,2,320.69
12367,168.9,1,168.9
12370,3541.94,4,885.485
12371,1887.96,2,943.98
12372,1298.04,3,432.68
12373,364.6,1,364.6
12374,742.9300000000001,1,742.9300000000001
12375,457.5,2,228.75
12377,1628.12,2,814.06
12378,4008.62,1,4008.62
12379,852.24,2,426.12
12380,2724.81,4,681.2025
12381,1845.31,5,369.062
12383,1850.56,5,370.11199999999997
12384,585.27,2,292.635
12386,401.9,2,200.95
12388,2780.66,6,463.4433333333333
12390,549.84,1,549.84
12391,439.66,1,439.66
12393,1582.6000000000001,4,395.65000000000003
12394,1272.48,2,636.24
12395,3018.63,12,251.5525
12397,2409.9,2,1204.95
12398,1635.6599999999999,1,1635.6599999999999
12399,1108.65,4,277.1625
12401,84.3,1,84.3
12402,225.6,1,225.6
12403,427.7,1,427.7
12405,1710.39,1,1710.39
12406,3415.3,2,1707.65
12407,1708.1200000000001,5,341.624
12408,2888.55,5,577.71
12409,11072.67,3,3690.89
12410,693.3299999999999,2,346.66499999999996
12412,1226.88,3,408.96000000000004
12413,758.1,3,252.70000000000002
12414,562.41,3,187.47
12415,124914.53,21,5948.310952380953
12417,3649.1,9,405.4555555555555
12418,668.58,1,668.58
12420,600.39,1,600.39
12421,807.04,4,201.76
12422,803.5600000000001,3,267.85333333333335
12423,1859.31,8,232.41375
12424,1760.96,2,880.48
12425,777.2,1,777.2
12426,582.73,1,582.73
12427,825.8,3,275.26666666666665
12428,7956.46,9,884.0511111111111
12429,3750.4,4,937.6
12430,256.4,1,256.4
12431,6419.95,15,427.99666666666667
12432,5059.32,5,1011.8639999999999
12433,13375.87,7,1910.8385714285716
12434,806.14,2,403.07
12435,7829.89,2,3914.945
12436,509.01,1,509.01
12437,4951.41,18,275.0783333333333
12438,2906.85,2,1453.425
12441,173.55,1,173.55
12442,172.06,1,172.06
12444,5005.46,5,1001.092
12445,133.4,1,133.4
12446,1002.3100000000001,1,1002.3100000000001
12447,476.49,1,476.49
12448,449.45,1,449.45
12449,4067.29,4,1016.8225
12450,197.88,2,98.94
12451,9035.52,5,1807.104
12452,430.57,2,215.285
12453,707.09,1,707.09
12454,3528.34,1,3528.34
12455,2466.86,6,411.1433333333334
12456,3181.04,3,1060.3466666666666
12457,2363.23,7,337.6042857142857
12458,947.4,2,473.7
12461,826.88,2,413.44
12462,1189.59,2,594.795
12463,1344.78,4,336.195
12464,1212.05,8,151.50625
12465,742.1899999999999,2,371.09499999999997
12468,729.5400000000001,2,364.77000000000004
12471,19788.65,30,659.6216666666667
12472,6572.11,7,938.8728571428571
12473,3928.0499999999997,5,785.6099999999999
12474,7324.09,18,406.8938888888889
12475,723.38,1,723.38
12476,6816.42,11,619.6745454545454
12477,13219.74,6,2203.29
12478,680.99,1,680.99
12479,527.2,1,527.2
12480,3281.63,4,820.4075
12481,5579.82,10,557.982
12483,2484.98,8,310.6225
12484,4527.32,6,754.5533333333333
12488,1298.66,3,432.8866666666667
12489,334.93,1,334.93
12490,5417.93,10,541.793
12491,460.40000000000003,1,460.40000000000003
12492,263.21000000000004,2,131.60500000000002
12493,433.74,2,216.87
12494,1246.1000000000001,7,178.01428571428573
12497,1043.1,1,1043.1
12498,403.70000000000005,3,134.5666666666667
12500,4257.82,11,387.07454545454544
12501,2169.39,1,2169.39
12502,3723.87,5,744.774
12504,482.04999999999995,2,241.02499999999998
12506,73.5,1,73.5
12507,1304.81,3,434.93666666666667
12508,397.88,2,198.94
12509,176.5,1,176.5
12510,982.5699999999999,2,491.28499999999997
12512,132.18,2,66.09
12513,612.29,1,612.29
12514,1017.68,1,1017.68
12515,383.7,1,383.7
12516,1312.06,2,656.03
12517,2481.6,5,496.32
12518,2056.89,5,411.378
12519,330.84,1,330.84
12520,2634.26,5,526.8520000000001
12521,599.68,1,599.68
12522,192.72,2,96.36
12523,1789.77,11,162.70636363636365
12524,4485.72,8,560.715
12526,1316.66,3,438.8866666666667
12527,348.71000000000004,3,116.23666666666668
12528,1933.48,6,322.24666666666667
12530,1662.28,4,415.57
12531,125.22,1,125.22
12532,349.83000000000004,1,349.83000000000004
12534,1089.18,1,1089.18
12535,716.35,2,358.175
12536,12601.830000000002,3,4200.610000000001
12538,363.95,1,363.95
12539,5568.35,4,1392.0875
12540,13400.24,17,788.2494117647059
12541,981.18,3,327.06
12544,372.7,1,372.7
12545,1000.39,2,500.195
12546,1161.5,2,580.75
12547,207.79999999999998,2,103.89999999999999
12548,95.19999999999999,1,95.19999999999999
12550,964.83,1,964.83
12551,168.0,1,168.0
12552,437.82,2,218.91
12553,3692.28,10,369.228
12556,599.56,2,299.78
12557,11990.960000000001,5,2398.192
12558,269.96,1,269.96
12559,561.71,2,280.855
12560,2134.01,3,711.3366666666667
12561,238.85,1,238.85
12562,3781.7400000000002,7,540.2485714285715
12564,456.9,1,456.9
12565,145.92,1,145.92
12566,351.65,1,351.65
12567,9401.28,10,940.128
12569,4124.69,32,128.8965625
12571,519.61,2,259.805
12572,1020.42,2,510.21
12573,160.54000000000002,1,160.54000000000002
12574,218.45,1,218.45
12576,1315.83,5,263.166
12577,626.6,3,208.86666666666667
12578,2794.51,2,1397.255
12579,440.42,1,440.42
12580,415.7,1,415.7
12581,197.71,1,197.71
12582,511.36,2,255.68
12583,7281.38,15,485.42533333333336
12584,2338.15,9,259.7944444444445
12585,2040.1,2,1020.05
12586,196.94000000000003,1,196.94000000000003
12587,144.0,1,144.0
12588,214.89999999999998,1,214.89999999999998
12589,646.68,2,323.34
12590,9864.26,2,4932.13
12591,452.84999999999997,1,452.84999999999997
12592,437.6,2,218.8
12593,418.09999999999997,3,139.36666666666665
12594,3338.2200000000003,10,333.822
12596,618.27,2,309.135
12597,3811.22,4,952.805
12598,3023.08,8,377.885
12599,1032.58,7,147.51142857142855
12600,2599.04,10,259.904
12601,577.0600000000001,5,115.412
12602,153.12,1,153.12
12603,739.1999999999999,1,739.1999999999999
12604,254.18,2,127.09
12607,1579.51,1,1579.51
12609,1126.85,3,375.6166666666666
12610,2099.54,5,419.908
12611,1193.32,1,1193.32
12612,704.0400000000001,1,704.0400000000001
12613,3344.38,5,668.876
12614,315.6,1,315.6
12615,2291.19,4,572.7975
12616,713.3,2,356.65
12617,352.98,1,352.98
12618,177.31,1,177.31
12619,3641.24,9,404.5822222222222
12620,1339.41,3,446.47
12621,13689.67,20,684.4835
12622,180.1,1,180.1
12623,305.1,1,305.1
12624,641.13,2,320.565
12625,2683.82,2,1341.91
12626,6620.48,9,735.6088888888888
12627,4478.53,7,639.79
12628,786.46,3,262.15333333333336
12630,1270.88,2,635.44
12631,640.5,1,640.5
12633,2163.98,4,540.995
12635,1689.18,2,844.59
12637,6002.9,8,750.3625
12638,671.69,1,671.69
12639,486.1,1,486.1
12640,1174.58,3,391.52666666666664
12641,185.9,1,185.9
12642,1013.26,3,337.75333333333333
12643,3344.64,6,557.4399999999999
12644,477.91,1,477.91
12645,1775.18,4,443.795
12646,1346.97,2,673.485
12647,3722.82,12,310.235
12648,318.05,1,318.05
12649,623.51,3,207.83666666666667
12650,314.44,1,314.44
12651,114.0,1,114.0
12652,919.98,1,919.98
12653,2209.85,2,1104.925
12654,601.98,5,120.396
12656,4051.17,5,810.234
12657,1643.18,4,410.795
12658,686.05,1,686.05
12659,91.68,1,91.68
12660,245.1,1,245.1
12662,3849.78,11,349.98
12664,4881.88,9,542.4311111111111
12665,63.0,1,63.0
12667,620.13,1,620.13
12668,3807.15,4,951.7875
12669,2744.0299999999997,3,914.6766666666666
12670,2996.05,5,599.21
12672,225.89999999999998,1,225.89999999999998
12673,610.52,2,305.26
12674,1970.6,4,492.65
12676,1331.39,6,221.89833333333334
12678,17628.46,12,1469.0383333333332
12679,1113.02,4,278.255
12680,862.81,4,215.7025
12681,13787.54,22,626.7063636363637
12682,12279.82,31,396.1232258064516
12683,8476.57,15,565.1046666666666
